dataset,deepest_level,count,share
h4_long_2018_2026,0.0,730,0.0848
h4_long_2018_2026,0.236,1037,0.1205
h4_long_2018_2026,0.382,919,0.1068
h4_long_2018_2026,0.5,916,0.1064
h4_long_2018_2026,0.618,1154,0.1341
h4_long_2018_2026,0.786,1080,0.1255
h4_long_2018_2026,1.0,2722,0.3163
h4_long_2018_2026,,47,0.0055
h4_long_trend_only_body>=0.5atr,0.0,507,0.1675
h4_long_trend_only_body>=0.5atr,0.236,625,0.2065
h4_long_trend_only_body>=0.5atr,0.382,445,0.147
h4_long_trend_only_body>=0.5atr,0.5,385,0.1272
h4_long_trend_only_body>=0.5atr,0.618,372,0.1229
h4_long_trend_only_body>=0.5atr,0.786,303,0.1001
h4_long_trend_only_body>=0.5atr,1.0,377,0.1245
h4_long_trend_only_body>=0.5atr,,13,0.0043
h4_matched_2026,0.0,18,0.0692
h4_matched_2026,0.236,23,0.0885
h4_matched_2026,0.382,35,0.1346
h4_matched_2026,0.5,34,0.1308
h4_matched_2026,0.618,31,0.1192
h4_matched_2026,0.786,41,0.1577
h4_matched_2026,1.0,77,0.2962
h4_matched_2026,,1,0.0038
