strategy_id,account,median_payout_prob,max_payout_prob,median_blowup_pre_payout,median_days_to_payout
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,0.91,1.0,0.0,8.0
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,0.88,0.99,0.08,9.0
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,0.8,0.97,0.14,12.0
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,0.865,0.95,0.0,11.0
vwap_mean_reversion_M15_filters[0].max_z=3.0,generic_static_50k,0.66,0.95,0.235,13.25
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,0.825,0.93,0.16,9.0
vwap_mean_reversion_M15_filters[0].max_z=3.0,mffu_50k,0.725,0.92,0.0,12.25
vwap_mean_reversion_M15_filters[0].max_z=2.5,mffu_50k,0.71,0.91,0.0,9.0
vwap_mean_reversion_M15_filters[0].max_z=2.5,generic_static_50k,0.67,0.91,0.26,10.0
vwap_mean_reversion_M15_filters[0].max_z=2.0,topstep_50k,0.75,0.88,0.24,12.0
vwap_mean_reversion_M15_filters[0].max_z=3.0,topstep_50k,0.585,0.85,0.415,12.5
vwap_mean_reversion_M15_filters[0].max_z=2.5,topstep_50k,0.6,0.81,0.4,10.0
