dataset,level,trades_evaluated,touched,touch_rate,reaction_count,reaction_rate,reaction_given_touch,mean_ret_from_touch_bp,median_ret_from_touch_bp,win_rate_from_touch
h4_long_2018_2026,0.0,8605,8558,0.9945,4245,0.4933,0.496,-17.34,-13.06,0.3122
h4_long_2018_2026,0.236,8605,7828,0.9097,3599,0.4182,0.4598,-6.97,-4.71,0.4211
h4_long_2018_2026,0.382,8605,6791,0.7892,2852,0.3314,0.42,-3.83,-2.09,0.4609
h4_long_2018_2026,0.5,8605,5872,0.6824,2227,0.2588,0.3793,-2.6,-0.92,0.4813
h4_long_2018_2026,0.618,8605,4956,0.5759,1689,0.1963,0.3408,-1.86,0.26,0.5044
h4_long_2018_2026,0.786,8605,3802,0.4418,1062,0.1234,0.2793,-1.66,-0.03,0.4982
h4_long_2018_2026,1.0,8605,2722,0.3163,606,0.0704,0.2226,-2.44,-0.54,0.4886
h4_long_trend_only_body>=0.5atr,0.0,3027,3014,0.9957,1510,0.4988,0.501,-16.57,-12.6,0.3298
h4_long_trend_only_body>=0.5atr,0.236,3027,2507,0.8282,1067,0.3525,0.4256,-3.03,-1.97,0.4687
h4_long_trend_only_body>=0.5atr,0.382,3027,1882,0.6217,658,0.2174,0.3496,0.26,0.25,0.5043
h4_long_trend_only_body>=0.5atr,0.5,3027,1437,0.4747,392,0.1295,0.2728,1.37,0.66,0.5143
h4_long_trend_only_body>=0.5atr,0.618,3027,1052,0.3475,237,0.0783,0.2253,2.09,2.91,0.5637
h4_long_trend_only_body>=0.5atr,0.786,3027,680,0.2246,107,0.0353,0.1574,3.7,3.47,0.5544
h4_long_trend_only_body>=0.5atr,1.0,3027,377,0.1245,32,0.0106,0.0849,1.62,1.88,0.5332
h4_matched_2026,0.0,260,259,0.9962,126,0.4846,0.4865,-47.99,-38.46,0.278
h4_matched_2026,0.236,260,241,0.9269,111,0.4269,0.4606,-20.18,-16.07,0.4066
h4_matched_2026,0.382,260,218,0.8385,92,0.3538,0.422,-6.48,-4.8,0.4633
h4_matched_2026,0.5,260,183,0.7038,67,0.2577,0.3661,-7.67,-5.73,0.4699
h4_matched_2026,0.618,260,149,0.5731,45,0.1731,0.302,-10.25,-0.19,0.4966
h4_matched_2026,0.786,260,118,0.4538,32,0.1231,0.2712,-8.25,-0.29,0.5
h4_matched_2026,1.0,260,77,0.2962,13,0.05,0.1688,-20.2,-5.51,0.4545
